Company,Brief Description,Protein Category,Company Focus,Technology Focus,Product Type,Animal-Type Analog,Ingredient Type,Operating Regions,Country/Province,State,City,Website,Year Founded,Founders,Logo
Power to Protein (Avecom),Power-to-Protein is about closing this artificial nitrogen cycle by direct N upcycling as microbial protein.,Biomass fermentation,Ingredients and inputs,Ingredient optimization,,,,,Netherlands,,,https://www.powertoprotein.eu/,2015,,power to protein.png (https://dl.airtable.com/.attachments/14e69f346689d8922e7b7e26bfff4ba0/52f694eb/powertoprotein.png)
Michroma,Fungal biofactories to produce the next generation of ingredients,Plant-based,Ingredients and inputs,Ingredient optimization,,,"Fungi,Mushrooms",U.S. and Canada,United States,California,San Francisco,michroma.co,2019,Ricky Cassini and Mauricio Braia,CMYK_Degrade_2.jpg (https://dl.airtable.com/.attachments/5a0068e1192396b04567b3eb7eab2c2d/13d1c8b9/CMYK_Degrade_2.jpg)
Knowde,"An ingredients marketplace, where for the first time ever, you can search, compare, sample, quote and purchase products from every producer on earth",Plant-based,Ingredients and inputs,,,,,,United States,California,San Jose,https://www.knowde.com/,,,
Duplaco B.V.,"Dutch Duplaco reinvented farming to grow clean and rich microalgae, packed with protein, fibers, vitamins, minerals and antioxidants.","Fermentation-derived,Biomass fermentation",Ingredients and inputs,Ingredient optimization,,,Algae,Europe,Netherlands,,Oldenzaal,www.duplaco.com,2012,Marcel Oogink,Duplaco logo.jpg (https://dl.airtable.com/.attachments/160de2972eff3136a964455ab7ad5a0a/25d975ae/Duplacologo.jpg)
AAK,"With AAKs AkoPlanet™ plant-based oil ingredients, we can help you make tastier, healthier plant-based foods made with love for people, plants, and the planet.",Plant-based,Ingredients and inputs,Ingredient optimization,,,"Canola,Coconut,Palm,Sunflower,Flaxseed,Soy","U.S. and Canada,Europe,Latin America,Africa/Middle East,Global,Asia Pacific,Australia",Sweden,,Malmö,aak.com/akoplanet,2005,,AAK_LOGO_BLUE_RGB (10).png (https://dl.airtable.com/.attachments/1d82a322b92a9ee09457720e4544681c/bd7d5388/AAK_LOGO_BLUE_RGB10.png)
KRONES AG,"The Krones Group plans, develops and manufactures machines and complete lines for the fields of process, filling and packaging technology. Customers are primarily from the beverage and liquid food industry. The company has experience in liquid & spoonable dairy alternatives. Furthermore, Krones has extensive expertise in fermentation through its brewery subsidiary Steinecker. 


","Plant-based,Fermentation-derived","Food processing infrastructure and equipment,Bioprocessing infrastructure and equipment",End product formulation and manufacturing,,,,Global,Germany,,Neutraubling,https://www.krones.com/,1951,Hermann Kronseder,Krones_Logo.png (https://dl.airtable.com/.attachments/f30bf7059ada112816ea39fc3f82c959/5f76f25e/Krones_Logo.png)
enGenes Biotech GmbH,Austrian-based company with proprietary technology for cost-effective recombinant protein production using Escherichia coli or other bacteria.,Fermentation-derived,"Contract manufacturing/processing,Bioprocessing infrastructure and equipment,Ingredients and inputs,Meat,Eggs,Dairy","Cell line development,Host strain development,Bioprocess design","Milk,Cheese,Other dairy,Ingredients,Other meat,Eggs,Pet food,Other",Other,,,Austria,,Vienna,engenes.cc,2014,"Dr. Juergen Mairhofer, Prof. Gerald Striedner",engenes_Logo_final_RGB.jpg (https://dl.airtable.com/.attachments/8218d4e9ec6351dd1fd25faf67a55eb1/06283a84/engenes_Logo_final_RGB.jpg)
Enantis,"Czech Republic-based company producing recombinant growth factors (e.g. FGF2) with an improved half-life for cultivated meat, fat or milk applications. ",Cultivated,"Meat,Dairy,Eggs,Ingredients and inputs","Cell culture media,Ingredient optimization","Ingredients,Other",,,Global,Czech Republic,,Brno,www.enantis.com,2006,"Professors Jiri Damborsky and Zbynek Prokop from Loschmidt Labs, Masaryk University",Enantis_logo_noBackground.png (https://dl.airtable.com/.attachments/e3077b8e055f915dfd2a149a8e8f3050/2c028f9e/Enantis_logo_noBackground.png)
Pow.bio ,"Provide ""intelligent fermentation services"" to help companies optimize and scale their fermentation processes. Their scale runs from 1-100 liter capacity for bacteria, yeast, and filamentous fungi. ",Fermentation-derived,Bioprocessing infrastructure and equipment,Bioprocess design,,,,,United States,CA,Berkley,https://www.pow.bio/,,,
Sydsel Africa,"Sydsel Africa is a Kenyan-registered company dealing in food and agri-food products. Our primary focus is now on plant-based proteins, fermentation-based proteins, fermented fats for plant-based proteins and cultivated Tilapia fish and Nile Perch. ",Plant-based,"Ingredients and inputs,Contract manufacturing/processing,Other","End product formulation and manufacturing,Crop development,Ingredient optimization",Ingredients,,"Soy,Wheat,Mushrooms,Yeast,Butter Bean,Barley,Cashew,Chickpea,Jackfruit,Coconut,Hazelnut,Macadamia,Pea,Peanut,Potato,Rice,Pumpkin,Beans,Banana,Millet,Water,Blend",Africa/Middle East,,,Nairobi and Kisumu,www.sydselafrica.com,2019,"Dr. Violet Akoth Okech, Samuel Oluoch Helu, Winnie Shakira Adhiambo",Logo-Sydsel-Africa.png (https://dl.airtable.com/.attachments/6fea88f7b00b85f2ffca6827534a5818/6f38f9d8/Logo-Sydsel-Africa.png)
Royal Spirulina,US based company who specializes in alternative protein from an algae based sources called spirulina. Our vision is to provide alternative healthy protein to the market. ,Plant-based,"Ingredients and inputs,Meat,Dairy,Eggs,Food processing infrastructure and equipment,Contract manufacturing/processing",End product formulation and manufacturing,"Ingredients,Other",,Algae,U.S. and Canada,United States,New Jersey,Sayrveille,RoyalSpirulina.com,2018,Paul Pluta,Genarro-group-main.png (https://dl.airtable.com/.attachments/7da94803d9ae554648d95b97dc6ad82a/944ecc33/Genarro-group-main.png)
Sound Eats,"U.S.-based company pursuing a science-forward approach to the development of textured, cultivated fish meat.",Cultivated,"Meat,Seafood,Ingredients and inputs","Cell culture media,Cell line development,Bioprocess design,Scaffolding and structure,End product formulation and manufacturing","Whole muscle meat,Ground meat,Ingredients",Fish,,U.S. and Canada,United States,Washington,Seattle,https://www.soundeats.com/,2021,"Nick Geisse, David Mack, Alec Smith, Reza Ovissipour, Alessandro Bertero, Jeanot Muster, Sepehr Nasaei, Greg Potter",Sound Eats Logo.jpg (https://dl.airtable.com/.attachments/2e293007e443df436df038a29aeebc22/5c9692db/SoundEatsLogo.jpg)
Micro Meat,Mexico-based company developing technologies that enable the scaling of cultivated meat production ,Cultivated,Bioprocessing infrastructure and equipment,"Bioprocess design,Scaffolding and structure",,,,"Global,Latin America",Mexico,,Monterrey,www.micromeat.com,2021,,MicroMeat_PrimaryLogo.png (https://dl.airtable.com/.attachments/75025e16fecf36622b19cfca48de58d2/db6f2147/MicroMeat_PrimaryLogo.png)
NovoNutrients,Bay area company producing food and feed grade protein from upcycled CO2.,Biomass fermentation,"Ingredients and inputs,Bioprocessing infrastructure and equipment","Ingredient optimization,Target molecule selection,Bioprocess design",,,,,United States,California,Sunnyvale,www.novonutrients.com,2007,"Brian Sefton, Russell Howard",NN Logo 2 TM (1).png (https://dl.airtable.com/.attachments/7f27a65ce2a37cc6039f300f02c2188c/d2b7ab5a/NNLogo2TM1.png)
BioBrew,"BioBrew, division of ZX Ventures, is a technology platform for precision fermentation at large, commercial scale. Biobrew applies centuries of large-scale fermentation and downstream processing expertise to purpose-built capability for the biotechnology of food and sustainable bio-products, the next evolution of brewing.",Precision fermentation,"Bioprocessing infrastructure and equipment,Contract manufacturing/processing","Bioprocess design,Host strain development,Target molecule selection",,,,"U.S. and Canada,Europe",United States,New York ,New York ,https://biobrew.com/,2019,Patrick O'Riordan,biobrew.jpeg (https://dl.airtable.com/.attachments/08783970d19724ec875aaa05fc7bd813/f322f171/biobrew.jpeg)
"Forte Protein, Inc.","New York-based company producing plant-based proteins (lactoferrin, casein, albumen, collagen, and myosin) modeling the complex protein and enzymes present in animal meat",Plant molecular farming,Ingredients and inputs,"Crop development,Target molecule selection,Ingredient optimization",,,Casein,"U.S. and Canada,Global",United States,New York,Trumansberg,https://www.linkedin.com/company/forteprotein/about/,2020,"Tracy Kirkman, Kathleen Hefferon, Deborah McConchie",ForteLogo.jpeg (https://dl.airtable.com/.attachments/d8b34f69f04562f826e69d51900dc221/bb3ac74a/ForteLogo.jpeg)
Norwegian Mycelium (NoMy),Norwegian company producing foods and materials from mycelium (the root-like filaments of fungi),Biomass fermentation,"Ingredients and inputs,Meat","End product formulation and manufacturing,Bioprocess design",Other meat,,Mushrooms,"Europe,Global",Norway,,Oslo,https://www.nomy.no,2020,"Ingrid Dynna, David Andrew Quist",NoMyLogo.png (https://dl.airtable.com/.attachments/82b29b0eec741719cdb923ddb4360253/d35afc9e/NoMyLogo.png)
Terra Bio,Canada-based producing plant-based protein from spent grains (unused parts of the grain from beer manufacturing),Plant-based,Ingredients and inputs,Ingredient optimization,,,Grains,,Canada,,Toronto,https://terrabiofood.com/,2017,"Steve George, Ricardo Martinez",TerraBioLogo.jpg (https://dl.airtable.com/.attachments/25fea2c6978d31901583b09f6ced1a95/6fa9d53a/TerraBioLogo.jpg)
MyoWorks,India-based company producing scaffolding for the cultivated meat industry,Cultivated,"Meat,Ingredients and inputs",Scaffolding and structure,Whole muscle meat,,,"Asia Pacific,Global",India ,,Mumbai,https://www.myoworks.in,2020,"Nihal Singh, Shubhankar Takle",myoworkslogo.jpg (https://dl.airtable.com/.attachments/fa99727f0c2daf9aa5cb7b4ea9813fb6/529f794c/myoworkslogo.jpg)
Kyomei Proteins,U.K.-based company producing proteins using plants and photosynthesis as a production system to naturally produce meat proteins,Plant-based,"Ingredients and inputs,Meat",Crop development,,,,Europe,United Kingdom,,London,https://kyomei.co.uk,2021,"Meir Wachs, Kyoko Morimoto ",kyomeiproteinslogo.png (https://dl.airtable.com/.attachments/77a739b45eade532cb477329efb88c2c/51a56f0f/kyomeiproteinslogo.png)
Defined Bioscience,"San Diego-based company that produces ingredients for cell culture with a mission to make cultured cells easy to grow and produce, using animal-free and defined ingredients.",Cultivated,"Bioprocessing infrastructure and equipment,Ingredients and inputs,Meat,Seafood","Cell culture media,Cell line development",,,,"U.S. and Canada,Global",United States,California,San Diego,definedbioscience.com,2020,,Defined bioscience_Logo.png (https://dl.airtable.com/.attachments/99df0603ccb7f5228e092f74fc09cad0/dbb969b4/Definedbioscience_Logo.png)
Paragon Pure,"New Jersey-based company developing plant-based ingredients for delivering natural flavors, colors, and nutrients",Plant-based,Ingredients and inputs,Ingredient optimization,,,Rice,U.S. and Canada,United States,New Jersey ,Princeton ,http://paragonpure.com,2019,"Christopher Gregson, Matthew Sillick",paragon-pure.png (https://dl.airtable.com/.attachments/4aeec37e6f6e4a84cc593500e06c88fe/7d78ffed/paragon-pure.png)
Charoen Pokphand Foods PLC (CPF Foods),"Thailand-based agro-industrial and food conglomerate producing affordable plant-based meats under the brand ""Meat Zer0""",Plant-based,"Meat,Ingredients and inputs,Food processing infrastructure and equipment",End product formulation and manufacturing,Other meat,,,"Asia Pacific,Global",Thailand,,Bangkok,https://www.cpfworldwide.com/en/home,,Dhanin Chearavanont,
Growthwell Foods,"Singapore-based manufacturer of plant-based products, as well as sourcing, research, development, and customizing OEM for sauces, pastes, and ingredients",Plant-based,"Seafood,Meat,Ingredients and inputs",End product formulation and manufacturing,"Other meat,Ingredients","Chicken,Fish","Soy,Mushrooms,Chickpea",Asia Pacific,Singapore,,Singapore,https://growthwellfoods.com,1989,,
"Wuxi Jinnong Biotechnology Co., Ltd.","China-based company producing pure natural, non-GMO, and non-allergenic rice protein products and ingredients ",Plant-based,"Ingredients and inputs,Other",Ingredient optimization,,,Rice,"Asia Pacific,Global",China,,,http://www.jinnongbio.com/html/en/,2013,,
KosmodeHealth,"Singapore-based company providing agricultural & food processing by-product valorization services, plant extracts, and 3-D scaffolds for cultivated meat. ",Cultivated,Ingredients and inputs,"End product formulation and manufacturing,Scaffolding and structure",,,,"Global,Asia Pacific",Singapore,,,https://kosmodehealth.com,2016,"Florence Leong, Huang Dejian",2bd8183183d0f5e1445939a99b05dc30.png (https://dl.airtable.com/.attachments/d1e2656ca21929a2d2e5a7f32e76d415/81fe075b/2bd8183183d0f5e1445939a99b05dc30.png)
"Ningbo Sulian Food Co., Ltd.","China-based brand enterprise specializes in plant-based series products R&D, manufacturing, sales, and technological innovation",Plant-based,"Meat,Ingredients and inputs,Food processing infrastructure and equipment,Contract manufacturing/processing",End product formulation and manufacturing,"Other meat,Ground meat,Ingredients",,Soy,Asia Pacific,China,,Zhejiang,https://www.sulianfood.com/en/,2010,Zhang Xinliang,
Yantai Shuangta Food Co. Ltd.,China-based ingredient supplier producing plant protein powders and inputs for alternative proteins,Plant-based,Ingredients and inputs,Ingredient optimization,,,"Pea,Potato,Grains",Asia Pacific,China,,,http://en.shuangtafood.com,1992,,
Starfield Food Science & Technology ,China-based company that produces and supplies plant-based meat products and plant proteins ,Plant-based,"Ingredients and inputs,Meat",End product formulation and manufacturing,"Ground meat,Other meat",,"Soy,Wheat",Asia Pacific,China,,Shenzhen,https://www.starfieldcn.com,2019,Liu Shuman ,Starfield logo.png (https://dl.airtable.com/.attachments/fb6a603510b03116d1d2e974f7e9c5c6/bee5fec1/Starfieldlogo.png)
Biocatalysts Ltd,Global speciality enzyme development and manufacturing company.,"Plant-based,Fermentation-derived","Meat,Eggs,Dairy,Contract manufacturing/processing,Bioprocessing infrastructure and equipment","Ingredient optimization,Host strain development,Target molecule selection",Other,Other,,"U.S. and Canada,Latin America,Europe,Africa/Middle East,Asia Pacific,Global,Australia",United Kingdom,,Cardiff,www.biocatalysts.com,1983,,Biocatalysts_Logo_BRAIN-Group-Flag.png (https://dl.airtable.com/.attachments/5f16c3275bd10afe084f35aa25ee190d/8c0e60ce/Biocatalysts_Logo_BRAIN-Group-Flag.png)
"Tianjin Norland Biotech Co., Ltd. ",China-based manufacturer that produces microalgae products and plant protein powders.,Plant-based,Ingredients and inputs,End product formulation and manufacturing,,,Algae,Asia Pacific,China,,Erdos,http://www.norlandbiotech.com/,2007,,
Tupic.Bio,"Japan-based company developing software for the synthetic biology R&D process, including for cell-based meat production",Cultivated,Bioprocessing infrastructure and equipment,"Cell line development,Bioprocess design",,,,"U.S. and Canada,Asia Pacific",Japan,,Tokyo,https://www.tupac.bio/,2015,Eli Lyons,
TissueByNet,Japan-based company developing technology for cultivated meat using a bioassembly process that facilitates ECM production solely through cultured cells ,Cultivated,Bioprocessing infrastructure and equipment,Bioprocess design,,,,"Asia Pacific,U.S. and Canada",Japan,,,https://en.tissuebynet.com/home,2018,,
